"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"两个用户分别修改社区昵称","1493","【场景】TC-NICK-001~002 大神和用户2分别修改社区昵称","cases.nnchannel","2026-06-01","passed","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"验证不同queryIsPayUser参数都能正常返回","121","TC-USER-003/004: 不同queryIsPayUser参数查询","cases.user","2026-06-01","passed","2026-06-01","TestUserInfo","test_user_case","",""
"","33","TC-NNUNION-001: 校验公会是否存在成功","cases.nnunion","2026-06-01","passed","2026-06-01","TestNnunionGuild","test_nnunion_case","",""
"","218","TC-NNORDER-009: 变更DW订单状态成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderStatusChange","test_nnorder_case","",""
"","38","TC-NNORDER-003: 查询无订单用户DW信息","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderDwOrder","test_nnorder_case","",""
"","32","TC-CR-012: duration为0","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendBoundary","test_click_recommend_case","",""
"","34","TC-CR-002: 带可选参数duration正常提交","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendSuccess","test_click_recommend_case","",""
"","28","TC-RK-001: 查询风控配置列表成功","cases.risk","2026-06-01","passed","2026-06-01","TestRiskConfig","test_risk_case","",""
"验证从空闲(3)切换到忙碌(4)","1528","【场景】SC-STATUS-004: 空闲→忙碌状态切换","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusSwitch","test_user_status_flow_case","",""
"","50","TC-GAMEHUB-001: 获取NN首页配置成功","cases.gamehub","2026-06-01","passed","2026-06-01","TestGamehubIndexConf","test_gamehub_case","",""
"","38","TC-WAN-005: 查询用户价格成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserPrice","test_wan_case","",""
"验证登录响应包含所有必要字段","707","TC-LOGIN-006: 登录返回字段完整性校验","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","32","TC-CR-021: recommendReq为null","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendException","test_click_recommend_case","",""
"从社区大厅成员列表验证昵称修改结果","296","【场景】TC-NICK-005 社区大厅成员列表验证昵称","cases.nnchannel","2026-06-01","passed","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"","33","TC-CH-010: 查询所有频道系统通知成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","693","TC-RT-001: 初始化RTC连接成功","cases.rtc","2026-06-01","passed","2026-06-01","TestRtcConnect","test_rtc_case","",""
"","48","TC-USER-BATCH-001: 批量查询用户信息成功","cases.user","2026-06-01","passed","2026-06-01","TestBatchUserInfo","test_user_case","",""
"","39","TC-CH-001: 查询IM鉴权成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelAuth","test_channel_case","",""
"","37","TC-CR-015: userId为0","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendBoundary","test_click_recommend_case","",""
"","27","TC-PV-006: 获取红点变更标志成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeGrade","test_privilege_case","",""
"","29","TC-AS-003: 查询订单弹窗信息成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistGuide","test_assist_case","",""
"","35","TC-VR-001: 获取NN包信息成功","cases.version","2026-06-01","passed","2026-06-01","TestVersionPackage","test_version_case","",""
"拉入黑名单 → 查询验证 → 移除黑名单 → 查询验证移除","708","【场景】TC-BLACK-001~004 拉黑→查询→移除→验证","cases.nnchannel","2026-06-01","passed","2026-06-01","TestBlacklistManagement","test_community_flow_case","",""
"","30","TC-AS-006: 获取首页通知成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistBanner","test_assist_case","",""
"","29","TC-PV-001: 查询个人便签列表成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeNote","test_privilege_case","",""
"","31","TC-WAN-004: 查看DW详情成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanDwDetail","test_wan_case","",""
"","40","TC-CR-001: 全部必填参数正常提交","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendSuccess","test_click_recommend_case","",""
"","34","TC-WAN-010: 获取私聊按钮权限成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanPriTalkPerm","test_wan_case","",""
"进入社区验证返回的昵称","520","【场景】TC-NICK-006 进入社区验证返回昵称","cases.nnchannel","2026-06-01","passed","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"","45","TC-FR-002: 获取好友列表V2成功","cases.friend","2026-06-01","passed","2026-06-01","TestFriendList","test_friend_case","",""
"游戏社区：创建语音房 → 验证创建成功 → 删除语音房 → 验证删除成功","1645","【场景】TC-VOICE-003~004 游戏社区创建并删除语音房","cases.nnchannel","2026-06-01","passed","2026-06-01","TestVoiceRoomManagement","test_community_flow_case","",""
"","39","TC-OP-007: 查询圈子广告成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationCircleInfo","test_operation_case","",""
"","45","TC-PV-003: 获取装扮热点列表成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeDress","test_privilege_case","",""
"","34","TC-WAN-006: 添加直播举报成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanLiveReport","test_wan_case","",""
"验证从隐身(6)切换到空闲(3)","1518","【场景】SC-STATUS-006: 隐身→空闲状态切换","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusSwitch","test_user_status_flow_case","",""
"验证修改为忙碌状态(4)后，各接口返回正确","1056","【场景】SC-STATUS-002: 修改为忙碌状态并验证","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusChange","test_user_status_flow_case","",""
"","92","TC-OP-001: 获取圈子消息热点成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationCircle","test_operation_case","",""
"查询游戏社区剩余可创建语音房数量","349","【场景】TC-VOICE-002 查询游戏社区剩余可创建语音房数量","cases.nnchannel","2026-06-01","passed","2026-06-01","TestVoiceRoomManagement","test_community_flow_case","",""
"验证不同queryIsPayUser参数都能正常返回","72","TC-USER-003/004: 不同queryIsPayUser参数查询","cases.user","2026-06-01","passed","2026-06-01","TestUserInfo","test_user_case","",""
"从社区设置用户管理验证昵称","300","【场景】TC-NICK-008 社区设置用户管理验证昵称","cases.nnchannel","2026-06-01","passed","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"","30","TC-AS-009: 获取置顶信息V2成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistMessage","test_assist_case","",""
"","31","TC-CR-019: JSON格式错误","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendException","test_click_recommend_case","",""
"","537","TC-USER-DW-001: 查询DW聚合详情成功","cases.user","2026-06-01","passed","2026-06-01","TestDwAggregationDetail","test_user_case","",""
"","33","TC-RK-002: 查询青少年模式状态成功","cases.risk","2026-06-01","passed","2026-06-01","TestRiskConfig","test_risk_case","",""
"","37","TC-OP-006: 查询用户圈子信息成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationCircleInfo","test_operation_case","",""
"","31","TC-AS-010: 按服务器查询模板成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistTemplate","test_assist_case","",""
"","130","TC-USER-PGC-001: 雷神PGC Top查询成功","cases.user","2026-06-01","passed","2026-06-01","TestLeigodPgcTop","test_user_case","",""
"","33","TC-NNORDER-013: 查询礼物列表-最后一页","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderGift","test_nnorder_case","",""
"","38","TC-CR-003: 不同recommendType值-类型2","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendSuccess","test_click_recommend_case","",""
"","30","TC-CR-018: 请求体为空","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendException","test_click_recommend_case","",""
"","116","TC-WAN-016: 分页查询评价-空页","cases.wan","2026-06-01","passed","2026-06-01","TestWanEvaluate","test_wan_case","",""
"","86","TC-USER-OTHER-001: 查询他人用户信息成功","cases.user","2026-06-01","passed","2026-06-01","TestOtherUserInfo","test_user_case","",""
"","41","TC-OP-005: 查询圈子信息成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationCircleInfo","test_operation_case","",""
"","33","TC-RP-002: 添加直播上报成功","cases.report","2026-06-01","passed","2026-06-01","TestReportLive","test_report_case","",""
"","30","TC-RK-004: 查询不存在用户黑名单","cases.risk","2026-06-01","passed","2026-06-01","TestRiskBlacklist","test_risk_case","",""
"","39","TC-LOGIN-003: 验证码错误登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_login_case","",""
"","32","TC-WAN-011: 拼接回复信息成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanReplyInfo","test_wan_case","",""
"验证验证码错误时登录失败","3371","TC-LOGIN-003: 验证码错误登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","36","TC-SPEEDPLATFORM-001: 直播数据上报成功","cases.speedplatform","2026-06-01","passed","2026-06-01","TestSpeedPlatformLiveReport","test_speedplatform_case","",""
"","32","TC-PV-005: 获取用户等级详情成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeGrade","test_privilege_case","",""
"","49","TC-AS-005: 获取Banner列表成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistBanner","test_assist_case","",""
"","69","TC-LOGIN-001: 正确手机号+验证码登录成功","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_login_case","",""
"从个人资料卡片验证社区昵称修改结果","553","【场景】TC-NICK-003~004 查询个人资料卡片验证社区昵称","cases.nnchannel","2026-06-01","skipped","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"","37","TC-CR-016: userId为负数","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendBoundary","test_click_recommend_case","",""
"","30","TC-NNORDER-011: 查询所有礼物类型成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderGift","test_nnorder_case","",""
"","44","TC-FR-003: 好友列表分页查询","cases.friend","2026-06-01","passed","2026-06-01","TestFriendList","test_friend_case","",""
"","29","TC-PV-004: 获取全部道具类型成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeDress","test_privilege_case","",""
"自建社区：创建语音房 → 验证创建成功 → 删除语音房 → 验证删除成功","1860","【场景】TC-VOICE-005~006 自建社区创建并删除语音房","cases.nnchannel","2026-06-01","passed","2026-06-01","TestVoiceRoomManagement","test_community_flow_case","",""
"","30","TC-COMMON-002: 获取字典项文本成功","cases.common","2026-06-01","passed","2026-06-01","TestCommonDict","test_common_case","",""
"","39","TC-AS-004: 查询入门引导成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistGuide","test_assist_case","",""
"","43","TC-NNORDER-015: 创建多奖励订单成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderMultipleRewards","test_nnorder_case","",""
"清空社区备注昵称","29","【场景】TC-NICK-009 清空社区备注昵称成功","cases.nnchannel","2026-06-01","passed","2026-06-01","TestNicknameManagement","test_community_flow_case","",""
"","33","TC-NNORDER-007: 支付订单成功(余额)","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderPay","test_nnorder_case","",""
"查询自建社区剩余可创建语音房数量","319","【场景】TC-VOICE-001 查询自建社区剩余可创建语音房数量","cases.nnchannel","2026-06-01","passed","2026-06-01","TestVoiceRoomManagement","test_community_flow_case","",""
"","31","TC-OP-002: 用户签到成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationSignIn","test_operation_case","",""
"","379","TC-WAN-015: 分页查询评价信息成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanEvaluate","test_wan_case","",""
"","58","TC-NNORDER-014: 查询免费礼物列表成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderGift","test_nnorder_case","",""
"验证查询实名认证状态","38","TC-AUTH-001: 查询实名认证状态成功","cases.user","2026-06-01","passed","2026-06-01","TestRealNameAuth","test_user_case","",""
"","31","TC-WAN-008: 查询用户wan状态成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserStatus","test_wan_case","",""
"","36","TC-NNORDER-010: 变更DW订单状态失败-订单号不存在","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderStatusChange","test_nnorder_case","",""
"","42","TC-NNORDER-012: 分页查询礼物列表成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderGift","test_nnorder_case","",""
"查询频道成员","31","【场景】TC-CH-GEN-002 查询频道成员成功","cases.nnchannel","2026-06-01","passed","2026-06-01","TestChannelGeneralOps","test_community_flow_case","",""
"验证手机号格式错误时登录失败","728","TC-LOGIN-005: 手机号格式错误登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","31","TC-OP-004: 获取TM信息成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationTmInfo","test_operation_case","",""
"","30","TC-NNORDER-005: 创建DW订单成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderCreateOrder","test_nnorder_case","",""
"","38","TC-IM-002: 会话列表字段完整性","cases.im","2026-06-01","passed","2026-06-01","TestImSession","test_im_case","",""
"","39","TC-LS-001: 获取负载均衡信息成功","cases.lsb","2026-06-01","passed","2026-06-01","TestLsbLoadbalance","test_lsb_case","",""
"验证两个账号获取到不同的 token","1","验证 dashen 与 user 是不同用户","cases.user","2026-06-01","passed","2026-06-01","","test_login_case","",""
"","32","TC-WAN-013: 采集用户UV成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUvCollect","test_wan_case","",""
"","27","TC-CH-003: 获取热搜列表成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
