"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"接口自动化框架","Smoke 通畅性验证","带参数请求","0","0","5","0","0"
"接口自动化框架","Smoke 通畅性验证","HTTP 方法覆盖","0","0","3","0","0"
"接口自动化框架","Smoke 通畅性验证","响应头验证","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","边界值 — 空 Body POST","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","POST 不重试验证","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","超时验证","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","基础连通性","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","POST 请求","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","重试机制验证","0","0","1","0","0"
"接口自动化框架","Smoke 通畅性验证","边界值 — 大 Payload","0","0","1","0","0"
