"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 01:34:54 UTC 2026","Wed May 20 01:34:54 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_get_with_params[\u7a7a\u503c\u53c2\u6570]","验证带查询参数的 GET 请求"
"passed","Wed May 20 01:34:55 UTC 2026","Wed May 20 01:34:55 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_get_with_params[\u96f6\u503c]","验证带查询参数的 GET 请求"
"passed","Wed May 20 01:35:09 UTC 2026","Wed May 20 01:35:09 UTC 2026","208","tests.modules.example","test_smoke","TestSmoke","","","test_http_methods[DELETE \u65b9\u6cd5]","验证 PUT/PATCH/DELETE 方法通畅"
"passed","Wed May 20 01:34:54 UTC 2026","Wed May 20 01:34:55 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_get_with_params[\u7279\u6b8a\u5b57\u7b26]","验证带查询参数的 GET 请求"
"passed","Wed May 20 01:35:06 UTC 2026","Wed May 20 01:35:07 UTC 2026","208","tests.modules.example","test_smoke","TestSmoke","","","test_response_headers","验证响应头正确返回"
"passed","Wed May 20 01:35:08 UTC 2026","Wed May 20 01:35:08 UTC 2026","208","tests.modules.example","test_smoke","TestSmoke","","","test_empty_post","验证空 Body 的 POST 请求"
"passed","Wed May 20 01:35:04 UTC 2026","Wed May 20 01:35:04 UTC 2026","211","tests.modules.example","test_smoke","TestSmoke","","","test_post_no_retry_on_500","验证 POST 请求遇到 500 时不重试 — 直接返回响应"
"passed","Wed May 20 01:35:08 UTC 2026","Wed May 20 01:35:09 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_http_methods[PATCH \u65b9\u6cd5]","验证 PUT/PATCH/DELETE 方法通畅"
"passed","Wed May 20 01:35:04 UTC 2026","Wed May 20 01:35:06 UTC 2026","2210","tests.modules.example","test_smoke","TestSmoke","","","test_request_timeout","验证超时机制 — httpbin /delay/10（框架 timeout=30，应正常返回）"
"passed","Wed May 20 01:35:08 UTC 2026","Wed May 20 01:35:08 UTC 2026","485","tests.modules.example","test_smoke","TestSmoke","","","test_http_methods[PUT \u65b9\u6cd5]","验证 PUT/PATCH/DELETE 方法通畅"
"passed","Wed May 20 01:34:54 UTC 2026","Wed May 20 01:34:54 UTC 2026","208","tests.modules.example","test_smoke","TestSmoke","","","test_get_with_params[\u666e\u901a\u952e\u503c\u5bf9]","验证带查询参数的 GET 请求"
"passed","Wed May 20 01:34:53 UTC 2026","Wed May 20 01:34:54 UTC 2026","841","tests.modules.example","test_smoke","TestSmoke","","","test_get_connectivity","验证基础 GET 请求通畅 — httpbin /get"
"passed","Wed May 20 01:34:54 UTC 2026","Wed May 20 01:34:54 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_post_connectivity","验证 POST 请求通畅 — httpbin /post（POST 不重试）"
"passed","Wed May 20 01:34:55 UTC 2026","Wed May 20 01:34:55 UTC 2026","209","tests.modules.example","test_smoke","TestSmoke","","","test_get_with_params[\u4e2d\u6587\u5b57\u7b26]","验证带查询参数的 GET 请求"
"passed","Wed May 20 01:34:55 UTC 2026","Wed May 20 01:35:04 UTC 2026","8940","tests.modules.example","test_smoke","TestSmoke","","","test_retry_on_500","验证 GET 请求遇到 500 时触发重试 — httpbin /status/500"
"passed","Wed May 20 01:35:07 UTC 2026","Wed May 20 01:35:08 UTC 2026","1072","tests.modules.example","test_smoke","TestSmoke","","","test_large_payload","验证大请求体处理"
